pkey,id,date,security,asset,liability
453,304,2002-09-30,0,38450,31646
454,304,2002-12-31,0,39261,32710
455,306,2002-03-31,18285,99046,88141
456,306,2002-06-30,22264,101687,90419
457,306,2002-09-30,23580,106524,94775
458,306,2002-12-31,24401,104130,92402
459,307,2002-03-31,1483,54362,47703
460,307,2002-06-30,1282,53633,46772
461,307,2002-09-30,1089,54671,47595
462,307,2002-12-31,843,56027,48836
463,310,2002-03-31,5792,58255,51505
464,310,2002-06-30,5566,56573,49522
465,310,2002-09-30,4997,57979,50700
466,310,2002-12-31,4274,61407,55544
467,313,2002-03-31,15056,184726,171165
468,313,2002-06-30,14565,193255,178819
469,313,2002-09-30,12993,197261,181977
470,313,2002-12-31,18291,213411,197981
471,314,2002-03-31,2204,33699,29745
472,314,2002-06-30,1974,33203,28927
473,314,2002-09-30,1752,33344,28869
474,314,2002-12-31,1585,35677,31308
475,321,2002-03-31,336,80467,73206
476,321,2002-06-30,315,78723,71162
477,321,2002-09-30,306,77615,68795
478,321,2002-12-31,266,81721,72987
479,324,2002-03-31,14026,274147,248711
480,324,2002-06-30,13088,268163,241847
481,324,2002-09-30,15597,281096,254345
482,324,2002-12-31,18605,265525,238654
483,327,2002-03-31,4797,58676,52033
484,327,2002-06-30,5024,58885,51796
485,327,2002-09-30,4980,60385,52993
486,327,2002-12-31,4408,56626,49277
487,328,2002-03-31,426,51380,47162
488,328,2002-06-30,8439,53500,49072
489,328,2002-09-30,7817,57833,52679
490,328,2002-12-31,6855,53729,48481
491,340,2002-03-31,269,577380,499311
492,340,2002-06-30,214,578842,499266
493,340,2002-09-30,122,563321,482764
494,340,2002-12-31,51,548740,467489
495,341,2002-03-31,3743,47345,42954
496,341,2002-06-30,3223,48304,43603
497,341,2002-09-30,2718,50201,45183
498,341,2002-12-31,3887,49142,43995
499,342,2002-03-31,33031,188551,168476
500,342,2002-06-30,44310,204835,183680
501,342,2002-09-30,44834,209642,187620
502,342,2002-12-31,49488,214108,191685
503,352,2002-03-31,20,40383,36327
504,352,2002-06-30,18,42547,38346
505,352,2002-09-30,17,41485,37170
506,352,2002-12-31,8,44681,40244
507,357,2002-03-31,765,63146,56426
508,357,2002-06-30,740,65627,58618
509,357,2002-09-30,710,65868,58725
510,357,2002-12-31,205,74533,67608
511,358,2002-03-31,263,20343,17720
512,358,2002-06-30,265,21348,18555
513,358,2002-09-30,264,21587,18704
514,358,2002-12-31,363,22190,19314
515,363,2002-03-31,1069,158088,145005
516,363,2002-06-30,4025,158194,145221
517,363,2002-09-30,10887,168013,154838
518,363,2002-12-31,9571,170907,157678
519,364,2002-03-31,4225,45918,39542
520,364,2002-06-30,4058,46366,39798
521,364,2002-09-30,6139,46831,40074
522,364,2002-12-31,5653,50026,43155
523,384,2002-03-31,1770,642064,585612
524,384,2002-06-30,1747,655998,598896
525,384,2002-09-30,1675,685642,627585
526,384,2002-12-31,3594,687107,628887
527,389,2002-03-31,49,34983,32124
528,389,2002-06-30,1530,35358,32387
529,389,2002-09-30,3024,36213,33135
530,389,2002-12-31,2890,35736,32648
531,395,2002-03-31,1002,15797,14022
532,395,2002-06-30,973,15696,13865
533,395,2002-09-30,914,15893,14018
534,395,2002-12-31,812,16239,14400
535,398,2002-03-31,98,52576,49154
536,398,2002-06-30,64,51644,48105
537,398,2002-09-30,59,51991,48462
538,398,2002-12-31,48,53943,50381
539,399,2002-03-31,499,28286,26231
540,399,2002-06-30,455,27401,25256
541,399,2002-09-30,425,27620,25409
542,399,2002-12-31,391,28147,25924
543,402,2002-03-31,29730,90791,80327
544,402,2002-06-30,31940,92553,80939
545,402,2002-09-30,31530,93401,81126
